id,kShortName,kDemangledName,ground_truth,duration,overlap_ratio,slowdown,ID,Kernel Name,Compute throughput,SM,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
26,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",16257,15712,0.0,0.0,25,vectorized_elementwise_kernel,7.06,108,43.94,36.94,73.61,100.0,0.0,51.93
27,layer_norm_grad_input_kernel_vectorized,"void at::native::<unnamed>::layer_norm_grad_input_kernel_vectorized<float, float>(const T1 *, const T1 *, const T2 *, const T2 *, const T1 *, T1 *, int)",65505,64897,0.05226743917284312,-0.17758157594192,26,layer_norm_grad_input_kernel_vectorized,37.46,108,65.19,65.19,65.05,75.0,44.37,53.85
28,GammaBetaBackwardCUDAKernel_32x32,"void at::native::<unnamed>::GammaBetaBackwardCUDAKernel_32x32<float, float>(long, long, const T1 *, const T1 *, const T2 *, const T2 *, T1 *, T1 *)",99233,573258,1.0,4.776888736609797,27,GammaBetaBackwardCUDAKernel_32x32,12.18,108,37.69,37.69,49.91,100.0,0.09,19.51
29,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",53217,110530,1.0,1.076967886201778,28,vectorized_elementwise_kernel,6.51,108,71.23,71.23,87.89,100.0,29.64,40.94
30,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4768,130818,1.0,26.4366610738255,29,vectorized_elementwise_kernel,0.02,108,0.45,0.08,6.2,100.0,0.0,89.32
31,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4513,61153,1.0,12.55040992687791,30,vectorized_elementwise_kernel,0.02,108,0.45,0.08,6.19,100.0,0.0,90.11
32,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::masked_scale_kernel<bool, float, float>(at::Tensor &, const at::Tensor &, const at::Tensor &, T3)::[lambda(float, bool) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",43680,52993,1.0,0.213209706959707,31,vectorized_elementwise_kernel,15.0,108,67.7,67.7,84.89,100.0,0.0,54.65
33,ampere_sgemm_128x32_tn,ampere_sgemm_128x32_tn,1044562,1046194,0.05499649204640822,0.02840867267706699,32,ampere_sgemm_128x32_tn,87.72,108,80.17,2.45,45.64,50.0,0.51,97.31
34,ampere_sgemm_64x32_sliced1x4_nt,ampere_sgemm_64x32_sliced1x4_nt,1113459,1117459,0.0,0.0,33,ampere_sgemm_64x32_sliced1x4_nt,81.89,108,46.67,5.96,20.83,25.0,0.09,81.45
35,reduce_kernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",45633,46080,0.0,0.0,34,reduce_kernel,8.9,108,32.28,32.28,41.63,62.5,8.26,6.9
36,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4512,4289,0.0,0.0,35,vectorized_elementwise_kernel,0.02,108,0.48,0.09,6.21,100.0,0.0,91.33
37,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",7873,8128,0.0,0.0,36,vectorized_elementwise_kernel,4.06,108,19.38,18.82,42.75,100.0,0.0,53.54
38,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",54464,52417,0.0818055211095637,-0.4594367097683038,37,vectorized_elementwise_kernel,6.29,108,73.81,73.81,87.85,100.0,0.0,45.97
39,reduce_kernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",72066,119490,1.0,0.6580634418449754,38,reduce_kernel,75.85,108,23.99,23.99,90.14,100.0,10.44,8.79
40,elementwise_kernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",7488,11360,1.0,0.5170940170940171,39,elementwise_kernel,6.03,108,12.26,3.17,20.23,100.0,0.0,87.05
41,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<unsigned char>, at::detail::Array<char *, (int)1>>(int, T2, T3)",70561,70594,1.0,0.0004676804467056873,40,vectorized_elementwise_kernel,14.2,108,24.14,4.8,9.08,100.0,0.0,99.98
42,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,"fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80(PyTorchMemEffAttention::AttentionBackwardKernel<cutlass::arch::Sm80, float, (bool)1, (bool)1, (bool)0, (int)64, (int)64, (int)64, (bool)0>::Params)",1989218,2035330,0.240318768946559,0.09645925161545253,41,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,37.22,108,30.32,11.32,12.17,12.5,16.97,81.49
43,CatArrayBatchedCopy_aligned16_contig,"void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)3, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",118274,116898,0.0,0.0,42,CatArrayBatchedCopy_aligned16_contig,57.7,108,74.29,74.29,90.97,100.0,60.0,62.95
44,ampere_sgemm_128x32_tn,ampere_sgemm_128x32_tn,3097301,3094932,0.0,0.0,43,ampere_sgemm_128x32_tn,88.62,108,80.01,2.19,45.65,50.0,0.18,97.19
45,ampere_sgemm_128x32_sliced1x4_nt,ampere_sgemm_128x32_sliced1x4_nt,2797520,2797999,0.0,0.0,44,ampere_sgemm_128x32_sliced1x4_nt,98.08,108,40.39,4.95,12.5,12.5,0.0,84.46
46,reduce_kernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",101602,103234,0.0,0.0,45,reduce_kernel,11.75,108,50.03,50.03,56.25,62.5,6.37,20.02
47,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",3968,4064,0.0,0.0,46,vectorized_elementwise_kernel,0.04,108,0.54,0.17,6.17,100.0,0.0,85.6
48,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",13217,13088,0.0,0.0,47,vectorized_elementwise_kernel,6.24,108,33.38,33.38,66.77,100.0,0.0,52.07
49,layer_norm_grad_input_kernel_vectorized,"void at::native::<unnamed>::layer_norm_grad_input_kernel_vectorized<float, float>(const T1 *, const T1 *, const T2 *, const T2 *, const T1 *, T1 *, int)",64897,64513,0.04563421325934308,-0.1296629910540515,48,layer_norm_grad_input_kernel_vectorized,37.31,108,65.56,65.56,65.17,75.0,44.63,54.05
50,GammaBetaBackwardCUDAKernel_32x32,"void at::native::<unnamed>::GammaBetaBackwardCUDAKernel_32x32<float, float>(long, long, const T1 *, const T1 *, const T2 *, const T2 *, T1 *, T1 *)",97505,503689,1.0,4.165776114045434,49,GammaBetaBackwardCUDAKernel_32x32,12.01,108,37.75,37.75,49.91,100.0,0.09,18.71
51,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",54241,134178,1.0,1.473737578584466,50,vectorized_elementwise_kernel,6.39,108,71.7,71.7,87.71,100.0,29.33,40.86
52,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4768,36384,1.0,6.630872483221476,51,vectorized_elementwise_kernel,0.02,108,0.42,0.08,6.2,100.0,0.0,89.67
53,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4480,10209,1.0,1.278794642857143,52,vectorized_elementwise_kernel,0.02,108,0.47,0.08,6.2,100.0,0.0,88.15
54,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::masked_scale_kernel<bool, float, float>(at::Tensor &, const at::Tensor &, const at::Tensor &, T3)::[lambda(float, bool) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",42784,49985,1.0,0.1683105833956619,53,vectorized_elementwise_kernel,15.28,108,68.69,68.69,85.08,100.0,0.0,54.68
55,ampere_sgemm_128x64_tn,ampere_sgemm_128x64_tn,3818082,3817664,0.009706459237900455,-0.01127898957674938,54,ampere_sgemm_128x64_tn,95.86,108,48.15,2.05,23.96,25.0,0.36,98.52
56,ampere_sgemm_128x128_nt,ampere_sgemm_128x128_nt,3723872,3722431,0.0,0.0,55,ampere_sgemm_128x128_nt,98.5,108,31.89,3.97,23.45,25.0,0.04,78.42
57,reduce_kernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",52513,52673,0.0,0.0,56,reduce_kernel,9.06,108,31.32,31.32,41.37,62.5,8.3,7.49
58,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4256,4288,0.0,0.0,57,vectorized_elementwise_kernel,0.02,108,0.46,0.08,6.22,100.0,0.0,89.66
59,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",16160,16065,0.0,0.0,58,vectorized_elementwise_kernel,7.09,108,44.47,37.33,73.38,100.0,0.0,51.29
60,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",215556,220099,0.03780117129110083,0.5575417115639769,59,vectorized_elementwise_kernel,6.44,108,86.67,86.67,92.5,100.0,0.0,49.03
61,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",220932,306918,1.0,0.389196675900277,60,vectorized_elementwise_kernel,6.44,108,86.93,86.93,92.49,100.0,0.0,48.92
62,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::tanh_backward_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",221572,283076,1.0,0.2775801996642175,61,vectorized_elementwise_kernel,7.82,108,87.32,87.32,92.02,100.0,0.0,48.54
63,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",146339,164067,1.0,0.1211433725801051,62,vectorized_elementwise_kernel,8.58,108,83.6,83.6,89.34,100.0,0.0,61.85
64,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",149538,215300,1.0,0.4397678182134307,63,vectorized_elementwise_kernel,8.58,108,84.37,84.37,88.62,100.0,0.0,61.48
65,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",150371,159459,1.0,0.06043718536153913,64,vectorized_elementwise_kernel,8.57,108,83.88,83.88,89.23,100.0,0.0,61.56
66,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",149410,149314,0.4965709846364038,-0.00129392834825951,65,vectorized_elementwise_kernel,8.49,108,84.59,84.59,89.32,100.0,0.0,61.84
67,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",224164,224452,0.0,0.0,66,vectorized_elementwise_kernel,6.46,108,86.98,86.98,92.53,100.0,0.0,48.8
68,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",219492,218532,0.0,0.0,67,vectorized_elementwise_kernel,6.45,108,86.09,86.09,92.4,100.0,27.7,44.2
69,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",150530,148226,0.0,0.0,68,vectorized_elementwise_kernel,8.57,108,83.95,83.95,88.59,100.0,0.0,61.64
70,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",221989,221764,0.0,0.0,69,vectorized_elementwise_kernel,6.43,108,85.89,85.89,92.46,100.0,27.45,44.27
71,ampere_sgemm_128x32_tn,ampere_sgemm_128x32_tn,4108326,4108998,0.0,0.0,70,ampere_sgemm_128x32_tn,89.02,108,80.26,2.37,45.63,50.0,0.13,96.87
72,ampere_sgemm_64x32_sliced1x4_nt,ampere_sgemm_64x32_sliced1x4_nt,3937924,3936770,0.0,0.0,71,ampere_sgemm_64x32_sliced1x4_nt,92.95,108,53.0,6.37,23.88,25.0,0.08,82.63
73,reduce_kernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",123682,119587,0.0,0.0,72,reduce_kernel,11.2,108,57.3,57.3,55.79,62.5,4.91,20.84
74,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",3808,3680,0.0,0.0,73,vectorized_elementwise_kernel,0.04,108,0.64,0.22,6.15,100.0,0.0,85.88
75,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",16192,16000,0.0,0.0,74,vectorized_elementwise_kernel,7.12,108,45.38,38.14,73.74,100.0,0.0,51.71
76,layer_norm_grad_input_kernel_vectorized,"void at::native::<unnamed>::layer_norm_grad_input_kernel_vectorized<float, float>(const T1 *, const T1 *, const T2 *, const T2 *, const T1 *, T1 *, int)",65729,65857,0.04227341057138952,0.04606654666854831,75,layer_norm_grad_input_kernel_vectorized,37.24,108,64.95,64.95,65.3,75.0,44.65,54.19
77,GammaBetaBackwardCUDAKernel_32x32,"void at::native::<unnamed>::GammaBetaBackwardCUDAKernel_32x32<float, float>(long, long, const T1 *, const T1 *, const T2 *, const T2 *, T1 *, T1 *)",96257,651211,1.0,5.76533654695243,76,GammaBetaBackwardCUDAKernel_32x32,12.12,108,38.33,38.33,49.92,100.0,0.09,18.43
78,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",53889,145283,1.0,1.69596763718013,77,vectorized_elementwise_kernel,6.54,108,70.99,70.99,87.89,100.0,29.3,40.29
79,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4768,41057,1.0,7.610947986577181,78,vectorized_elementwise_kernel,0.02,108,0.45,0.08,6.21,100.0,0.0,89.13
80,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4288,34528,1.0,7.052238805970149,79,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.09,100.0,0.0,89.66
81,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::masked_scale_kernel<bool, float, float>(at::Tensor &, const at::Tensor &, const at::Tensor &, T3)::[lambda(float, bool) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",43169,50337,1.0,0.1660450786443976,80,vectorized_elementwise_kernel,14.99,108,67.0,67.0,84.47,100.0,0.0,54.23
82,ampere_sgemm_128x32_tn,ampere_sgemm_128x32_tn,1045074,1045138,0.06178801268349252,0.0009911256227400332,81,ampere_sgemm_128x32_tn,87.73,108,80.17,2.44,45.64,50.0,0.52,97.4
